time (ms),time_raw,x_accel,y_accel,z_accel,g_measured
963.039,5339.605607,-0.283508,-1.218704,0.783005,1.476047
965.9933,5339.63515,0.201797,-0.406494,0.94603,1.049253
968.9472,5339.664689,0.750214,-0.701553,1.118698,1.518711
971.9012,5339.694229,0.510269,-2.915558,0.275269,2.972646
974.8551,5339.723768,0.062988,-1.731796,0.183334,1.742612
977.8091,5339.753308,-0.933395,-0.62001,0.282318,1.155571
980.7628,5339.782845,1.80719,-1.886612,-0.608795,2.682512
983.7166,5339.812383,0.096603,-0.468063,-0.168243,0.506677
986.6703,5339.84192,-0.134552,-0.473694,-0.013077,0.492606
989.6243,5339.87146,-0.1073,-0.515182,0.016541,0.526498
992.5784,5339.901001,-0.099564,-0.470963,0.011398,0.481507
995.5325,5339.930542,-0.082092,-0.612198,-0.005722,0.617704
998.4867,5339.960084,-0.08519,-0.684341,0.024567,0.690061
1001.4408,5339.989625,-0.096237,-0.671356,0.055145,0.680457
1004.3949,5340.019166,-0.02652,-0.75856,0.05571,0.761065
1007.3486,5340.048703,0.111038,-0.810394,0.081818,0.822048
1010.3023,5340.07824,0.212555,-0.792038,0.100616,0.826213
1013.2563,5340.10778,0.226425,-0.79747,0.14949,0.842362
1016.2104,5340.137321,0.14151,-0.947388,0.200928,0.978744
1019.1641,5340.166858,0.138992,-0.999222,0.238602,1.036674
1022.1181,5340.196398,0.121658,-1.005447,0.222992,1.037039
1025.072,5340.225937,0.114441,-1.04158,0.251968,1.077717
1028.0259,5340.255476,0.145538,-0.976196,0.233627,1.014259
1030.9798,5340.285015,0.19635,-0.926697,0.21785,0.971997
1033.934,5340.314557,0.213181,-0.914581,0.216248,0.963674
1036.8883,5340.3441,0.175034,-0.863541,0.172775,0.897881
1039.8425,5340.373642,0.179001,-0.852905,0.155426,0.885238
1042.7967,5340.403184,0.189941,-0.87941,0.179062,0.917334
1045.7509,5340.432726,0.231918,-0.897064,0.241638,0.957549
1048.7046,5340.462263,0.237961,-0.906921,0.330582,0.994191
1051.6584,5340.491801,0.23819,-0.90593,0.43251,1.03175
1054.6126,5340.521343,0.546967,-0.938553,0.430267,1.168411
